resolution,input_type,pixel_dim,latent_dim,tr_jjt,t2_jjt,alpha,eff_rank,condition_number,s_max,s_min_nonzero,hutchinson_only,fd_rel_error
64,white_noise,12288,256,20562.748046875,136471968.0,1.002664388773614,3.098267078399658,266.4404990390929,106.69538879394531,0.4004473388195038,False,0.11286541819572449
64,constant_gray,12288,256,4255098.0,7914893344768.0,0.9891534430136218,2.2875680923461914,532.746938875734,1639.7713623046875,3.077955484390259,False,0.009196928702294827
64,structured,12288,256,7406.60498046875,5744898.0,0.8121327207613902,9.548958778381348,80.90172654140268,40.74892807006836,0.5036842823028564,False,0.05891602486371994
128,white_noise,49152,1024,141268.875,1835230080.0,1.00359583885816,10.87432861328125,436.34231287689704,162.29052734375,0.3719339668750763,False,0.29991015791893005
128,constant_gray,49152,1024,1181184256.0,6.077593128607416e+17,1.1840571073760697,2.2956395149230957,9501.94722186869,27073.876953125,2.8492977619171143,False,0.01893145777285099
128,structured,49152,1024,185631.03125,1838999040.0,0.9207321715937493,18.737844467163086,227.48734076908775,158.1934356689453,0.6953944563865662,False,0.060292139649391174
256,white_noise,196608,4096,320411.0,4350922240.0,0.9531122065555556,23.595735549926758,759.0583305104794,230.26231384277344,0.30335259437561035,False,0.26777777075767517
256,constant_gray,196608,4096,7852129792.0,9.056572274630459e+18,1.1903545810611702,6.807867050170898,13660.324222895044,41919.79296875,3.068726062774658,False,0.021238822489976883
256,structured,196608,4096,7946428.5,2026507206656.0,1.0278106900981259,31.159881591796875,953.7737743070035,859.3092041015625,0.9009570479393005,False,0.07988142967224121
512,white_noise,786432,16384,1661823.9525,23941241364.48,nan,nan,nan,nan,nan,True,nan
512,constant_gray,786432,16384,353008207.36,9.319881292025693e+16,nan,nan,nan,nan,nan,True,nan
512,structured,786432,16384,158664953.28,743903884119900.1,nan,nan,nan,nan,nan,True,nan
