m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
2,4,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,1.2,0.48,5.038944284941389,2.5194721424706943,nan,7.558416427412083,6.9985337290852625,bounded
2,4,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,1.2,0.72,7.558416427412083,3.7792082137060414,0.72,nan,10.497800593627893,sqrt(d)
2,4,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,1.2,0.72,6.419910583882661,3.2099552919413306,0.72,nan,8.916542477614808,sqrt(d)
2,4,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,1.2,0.72,5.90276908258714,2.95138454129357,0.72,nan,8.19829039248214,sqrt(d)
2,4,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,1.2,0.72,3.730910136396836,1.865455068198418,0.72,nan,5.181819633884495,sqrt(d)
2,4,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,0.9567621345008163,0.48727922061357853,3.9948565528124855,1.9974282764062428,nan,8.85415362388071,5.54841187890623,bounded
3,9,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,1.7999999999999998,0.54,5.668812320559063,2.8344061602795314,nan,7.558416427412083,5.248900296813947,bounded
3,9,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,1.7999999999999998,1.08,11.337624641118126,5.668812320559063,1.08,nan,10.497800593627893,sqrt(d)
3,9,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,1.7999999999999998,1.08,9.629865875823993,4.814932937911997,1.08,nan,8.916542477614808,sqrt(d)
3,9,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,1.7999999999999998,1.08,8.85415362388071,4.427076811940355,1.08,nan,8.19829039248214,sqrt(d)
3,9,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,1.7999999999999998,1.08,5.596365204595255,2.7981826022976275,1.08,nan,5.181819633884495,sqrt(d)
3,9,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,1.2199769370913147,0.5565612529163336,4.5628507726118,2.2814253863059,nan,8.85415362388071,4.224861826492408,bounded
4,16,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,2.4,0.576,6.046733141929666,3.023366570964833,nan,7.558416427412083,4.199120237451157,bounded
4,16,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,2.4,1.44,15.116832854824166,7.558416427412083,1.44,nan,10.497800593627893,sqrt(d)
4,16,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,2.4,1.44,12.839821167765322,6.419910583882661,1.44,nan,8.916542477614808,sqrt(d)
4,16,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,2.4,1.44,11.80553816517428,5.90276908258714,1.44,nan,8.19829039248214,sqrt(d)
4,16,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,2.4,1.44,7.461820272793672,3.730910136396836,1.44,nan,5.181819633884495,sqrt(d)
4,16,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,1.432108971447279,0.6015612529163337,4.931773840273497,2.4658869201367484,nan,8.85415362388071,3.424842944634373,bounded
6,36,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,3.5999999999999996,0.6171428571428572,6.4786426520675,3.23932132603375,nan,7.558416427412083,2.999371598179398,bounded
6,36,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,3.5999999999999996,2.16,22.67524928223625,11.337624641118126,2.16,nan,10.497800593627893,sqrt(d)
6,36,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,3.5999999999999996,2.16,19.259731751647987,9.629865875823993,2.16,nan,8.916542477614808,sqrt(d)
6,36,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,3.5999999999999996,2.16,17.70830724776142,8.85415362388071,2.16,nan,8.19829039248214,sqrt(d)
6,36,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,3.5999999999999996,2.16,11.19273040919051,5.596365204595255,2.16,nan,5.181819633884495,sqrt(d)
6,36,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,1.7680592832011544,0.6582555292201624,5.396569981003903,2.6982849905019517,nan,8.85415362388071,2.4984120282425475,bounded
8,64,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,4.8,0.64,6.718592379921851,3.3592961899609257,nan,7.558416427412083,2.332844576361754,bounded
8,64,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,4.8,2.88,30.23366570964833,15.116832854824166,2.88,nan,10.497800593627893,sqrt(d)
8,64,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,4.8,2.88,25.679642335530644,12.839821167765322,2.88,nan,8.916542477614808,sqrt(d)
8,64,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,4.8,2.88,23.61107633034856,11.80553816517428,2.88,nan,8.19829039248214,sqrt(d)
8,64,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,4.8,2.88,14.923640545587345,7.461820272793672,2.88,nan,5.181819633884495,sqrt(d)
8,64,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,2.033614593634736,0.693603604694477,5.686363768557711,2.8431818842788554,nan,8.85415362388071,1.9744318640825385,bounded
12,144,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,7.199999999999999,0.6646153846153846,6.976999779149615,3.4884998895748076,nan,7.558416427412083,1.615046245173522,bounded
12,144,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,7.199999999999999,4.32,45.3504985644725,22.67524928223625,4.32,nan,10.497800593627893,sqrt(d)
12,144,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,7.199999999999999,4.32,38.519463503295974,19.259731751647987,4.32,nan,8.916542477614808,sqrt(d)
12,144,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,7.199999999999999,4.32,35.41661449552284,17.70830724776142,4.32,nan,8.19829039248214,sqrt(d)
12,144,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,7.199999999999999,4.32,22.38546081838102,11.19273040919051,4.32,nan,5.181819633884495,sqrt(d)
12,144,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,2.4481779136309085,0.7368490356466241,6.040902369651447,3.0204511848257236,nan,8.85415362388071,1.398357030011909,bounded
16,256,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,9.6,0.6776470588235294,7.113803696387842,3.556901848193921,nan,7.558416427412083,1.2350353639562226,bounded
16,256,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,9.6,5.76,60.46733141929666,30.23366570964833,5.76,nan,10.497800593627893,sqrt(d)
16,256,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,9.6,5.76,51.35928467106129,25.679642335530644,5.76,nan,8.916542477614808,sqrt(d)
16,256,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,9.6,5.76,47.22215266069712,23.61107633034856,5.76,nan,8.19829039248214,sqrt(d)
16,256,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,9.6,5.76,29.84728109117469,14.923640545587345,5.76,nan,5.181819633884495,sqrt(d)
