m,channel_dimension_d,eta,stable_tail_eigenvalue,matched_coordinate_diagonal,matched_trace_closed,stable_trace_spectrum,unstable_trace_spectrum,stable_operator_norm,unstable_operator_norm,stable_hs2_closed,stable_hs2_spectrum,unstable_hs2_closed,unstable_hs2_spectrum,unstable_to_stable_hs2_ratio,stable_centered_quadratic_variance,unstable_centered_quadratic_variance,stable_ordinary_kl,unstable_ordinary_kl,stable_det2_renormalized_residue,unstable_det2_renormalized_residue,stable_det2_identity_error,unstable_det2_identity_error,common_spatial_hs2,masked_spatial_hs2,stable_factorized_hs2,unstable_factorized_hs2,stable_lowpass_factorized_hs2,unstable_lowpass_factorized_hs2,lowpass_hs2_ratio
2,4,0.6,0.19999999999999998,0.3,1.2,1.2,1.2,0.6,0.6,0.48,0.48,0.72,0.72,1.5,0.24,0.36,0.09151585018620034,0.12999637075426446,0.09151585018620027,0.12999637075426446,6.938893903907228e-17,0.0,10.497800593627893,7.380677434285783,5.038944284941389,7.558416427412083,3.5427251684571757,5.314087752685763,1.5
3,9,0.6,0.15,0.19999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,0.6,0.6,0.54,0.54,1.08,1.0799999999999998,2.0,0.27,0.54,0.10595041587649745,0.1949945561313966,0.10595041587649748,0.19499455613139668,2.7755575615628914e-17,8.326672684688674e-17,10.497800593627893,7.380677434285783,5.668812320559063,11.337624641118126,3.985565814514323,7.971131629028646,2.0
4,16,0.6,0.12,0.15,2.4,2.4,2.4,0.6,0.6,0.576,0.576,1.44,1.44,2.5,0.288,0.72,0.11503304557460847,0.2599927415085289,0.11503304557460842,0.2599927415085289,5.551115123125783e-17,0.0,10.497800593627893,7.380677434285783,6.046733141929666,15.116832854824166,4.251270202148611,10.628175505371527,2.5
6,36,0.6,0.08571428571428572,0.09999999999999999,3.5999999999999996,3.6,3.5999999999999996,0.6,0.6,0.6171428571428571,0.6171428571428571,2.16,2.1599999999999997,3.5,0.30857142857142855,1.08,0.12583146623012054,0.3899891122627932,0.12583146623012065,0.38998911226279337,1.1102230246251565e-16,1.6653345369377348e-16,10.497800593627893,7.380677434285783,6.478642652067499,22.67524928223625,4.55493235944494,15.942263258057292,3.5
8,64,0.6,0.06666666666666667,0.075,4.8,4.8,4.8,0.6,0.6,0.6399999999999999,0.64,2.88,2.88,4.5,0.31999999999999995,1.44,0.13203476954364035,0.5199854830170578,0.13203476954364052,0.5199854830170578,1.6653345369377348e-16,0.0,10.497800593627893,7.380677434285783,6.7185923799218505,30.23366570964833,4.7236335579429,21.256351010743053,4.5
12,144,0.6,0.04615384615384615,0.049999999999999996,7.199999999999999,7.199999999999999,7.199999999999999,0.6,0.6,0.6646153846153846,0.6646153846153846,4.32,4.319999999999999,6.5,0.3323076923076923,2.16,0.13888706282355656,0.7799782245255864,0.13888706282355656,0.7799782245255867,0.0,3.3306690738754696e-16,10.497800593627893,7.380677434285783,6.976999779149615,45.3504985644725,4.905311771709935,31.884526516114583,6.5
16,256,0.6,0.03529411764705882,0.0375,9.6,9.6,9.6,0.6,0.6,0.6776470588235294,0.6776470588235294,5.76,5.76,8.5,0.3388235294117647,2.88,0.14258954192115514,1.0399709660341157,0.1425895419211548,1.0399709660341157,3.3306690738754696e-16,0.0,10.497800593627893,7.380677434285783,7.113803696387842,60.46733141929666,5.001494355468954,42.512702021486106,8.5
24,576,0.6,0.024,0.024999999999999998,14.399999999999999,14.4,14.399999999999999,0.6,0.6,0.6911999999999999,0.6912,8.64,8.639999999999999,12.5,0.34559999999999996,4.32,0.14649678289876977,1.5599564490511728,0.14649678289876983,1.5599564490511735,5.551115123125783e-17,6.661338147750939e-16,10.497800593627893,7.380677434285783,7.2560797703155995,90.700997128945,5.101524242578333,63.769053032229166,12.5
32,1024,0.6,0.01818181818181818,0.01875,19.2,19.2,19.2,0.6,0.6,0.6981818181818181,0.6981818181818181,11.52,11.52,16.5,0.34909090909090906,5.76,0.14853262075717488,2.0799419320682313,0.14853262075717477,2.0799419320682313,1.1102230246251565e-16,0.0,10.497800593627893,7.380677434285783,7.3293735053692926,120.93466283859333,5.153054790483164,85.02540404297221,16.5
48,2304,0.6,0.012244897959183673,0.012499999999999999,28.799999999999997,28.8,28.799999999999997,0.6,0.6,0.7053061224489795,0.7053061224489796,17.28,17.279999999999998,24.5,0.35265306122448975,8.64,0.15062641865328352,3.1199128981023456,0.15062641865328147,3.119912898102347,2.0539125955565396e-15,1.3322676295501878e-15,10.497800593627893,7.380677434285783,7.404163030934285,181.40199425789,5.205636982222789,127.53810606445833,24.5
64,4096,0.6,0.00923076923076923,0.009375,38.4,38.4,38.4,0.6,0.6,0.708923076923077,0.7089230769230769,23.04,23.04,32.5,0.3544615384615385,11.52,0.15169583898034134,4.159883864136463,0.15169583898034092,4.159883864136463,4.163336342344337e-16,0.0,10.497800593627893,7.380677434285783,7.44213309775959,241.86932567718665,5.232332556490599,170.05080808594442,32.5
96,9216,0.6,0.006185567010309278,0.0062499999999999995,57.599999999999994,57.6,57.599999999999994,0.6,0.6,0.7125773195876288,0.7125773195876288,34.56,34.559999999999995,48.5,0.3562886597938144,17.28,0.15278071145534255,6.239825796204691,0.15278071145534267,6.239825796204694,1.1102230246251565e-16,2.6645352591003757e-15,10.497800593627893,7.380677434285783,7.480494608572783,362.80398851578,5.259303342864261,255.07621212891667,48.5
128,16384,0.6,0.004651162790697674,0.0046875,76.8,76.8,76.8,0.6,0.6,0.7144186046511628,0.7144186046511628,46.08,46.08,64.5,0.3572093023255814,23.04,0.15332904828932215,8.319767728272925,0.15332904828932276,8.319767728272925,6.106226635438361e-16,0.0,10.497800593627893,7.380677434285783,7.499824052005788,483.7386513543733,5.272893273982773,340.10161617188885,64.5
192,36864,0.6,0.0031088082901554403,0.0031249999999999997,115.19999999999999,115.19999999999999,115.19999999999999,0.6,0.6,0.7162694300518134,0.7162694300518134,69.12,69.11999999999999,96.5,0.3581347150259067,34.56,0.153881376666952,12.479651592409382,0.15388137666695584,12.479651592409388,3.83026943495679e-15,5.329070518200751e-15,10.497800593627893,7.380677434285783,7.5192536479954395,725.60797703156,5.2865536192521585,510.15242425783333,96.5
256,65536,0.6,0.0023346303501945525,0.00234375,153.6,153.6,153.6,0.6,0.6,0.7171984435797665,0.7171984435797665,92.16,92.16,128.5,0.35859922178988324,46.08,0.15415905146090836,16.63953545654585,0.15415905146090816,16.63953545654585,1.942890293094024e-16,0.0,10.497800593627893,7.380677434285783,7.529006246760674,967.4773027087466,5.293410368434068,680.2032323437777,128.5
384,147456,0.6,0.0015584415584415584,0.0015624999999999999,230.39999999999998,230.4,230.39999999999998,0.6,0.6,0.7181298701298701,0.7181298701298702,138.24,138.23999999999998,192.5,0.35906493506493503,69.12,0.15443774075428962,24.959303184818765,0.1544377407542768,24.959303184818776,1.2823075934420558e-14,1.0658141036401503e-14,10.497800593627893,7.380677434285783,7.538784176951272,1451.21595406312,5.300284927354112,1020.3048485156667,192.5
512,262144,0.6,0.0011695906432748538,0.001171875,307.2,307.20000000000005,307.2,0.6,0.6,0.7185964912280701,0.7185964912280702,184.32,184.32,256.5,0.35929824561403506,92.16,0.15457746759412316,33.2790709130917,0.15457746759410326,33.2790709130917,1.990074771640593e-14,0.0,10.497800593627893,7.380677434285783,7.543682672192956,1934.9546054174932,5.303728907163959,1360.4064646875554,256.5
768,589824,0.6,0.0007802340702210663,0.0007812499999999999,460.79999999999995,460.79999999999995,460.79999999999995,0.6,0.6,0.7190637191157347,0.7190637191157346,276.48,276.47999999999996,384.5,0.3595318595578674,138.24,0.15471745017103444,49.91860636963753,0.15471745017105115,49.91860636963755,1.6708856520608606e-14,2.1316282072803006e-14,10.497800593627893,7.380677434285783,7.548587537389441,2902.43190812624,5.307177365491114,2040.6096970313333,384.5
1024,1048576,0.6,0.0005853658536585366,0.0005859375,614.4,614.4,614.4,0.6,0.6,0.7192975609756097,0.7192975609756097,368.64,368.64,512.5,0.35964878048780485,184.32,0.1547875375825356,66.5581418261834,0.15478753758254452,66.5581418261834,8.909539772616881e-15,0.0,10.497800593627893,7.380677434285783,7.551042362604852,3869.9092108349864,5.308903276829485,2720.812929375111,512.5
