spectrum,label,regime,alpha,boundary,line_style,cutoff_N,trace_H,T2_H,trace_K,T2_K,ordinary_quadratic_mean,ordinary_logdet,ordinary_total_mean,det2_constant,wick_quadratic_sd_p,log_density_sd_q,cf_finite_part_mean,finite_cutoff_identity_error,KL_p_to_q,KL_p_to_q_det2,KL_q_to_p,KL_q_to_p_det2,precision_covariance_kl_p_error,precision_covariance_kl_q_error
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,10,1.1104710143274377,0.27475559310031983,1.5635628142877198,0.7696341115844536,0.5552355071637188,-0.6492255894013474,-0.09399008223762861,-0.09399008223762852,0.370645108628402,0.6203362441387951,-0.09399008223762852,9.71445146547012e-17,0.09399008223762861,0.09399008223762852,0.13255581774251246,0.13255581774251254,9.71445146547012e-17,8.326672684688674e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,11,1.1357955383554132,0.2753969246175633,1.589545333241241,0.7703092028756237,0.5678977691777066,-0.6620509436745633,-0.09415317449685667,-0.09415317449685659,0.3710774343836899,0.62060825118412,-0.09415317449685659,8.326672684688674e-17,0.09415317449685667,0.09415317449685659,0.13272172294605722,0.13272172294605736,8.326672684688674e-17,1.3877787807814457e-16
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,13,1.1793335307913064,0.27634688566686033,1.6340545270317297,0.7713021205720749,0.5896667653956532,-0.6840609505471079,-0.0943941851514547,-0.09439418515145467,0.371716885321921,0.621008100016447,-0.09439418515145467,2.7755575615628914e-17,0.0943941851514547,0.09439418515145467,0.13296631296875694,0.132966312968757,2.7755575615628914e-17,5.551115123125783e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,15,1.2157487502130568,0.27701105465204423,1.6711462759073403,0.7719912409310709,0.6078743751065284,-0.7024366530519333,-0.09456227794540484,-0.0945622779454049,0.37216330733432346,0.6212854581152978,-0.0945622779454049,5.551115123125783e-17,0.09456227794540484,0.0945622779454049,0.1331364849017369,0.13313648490173696,5.551115123125783e-17,5.551115123125783e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,17,1.2469224548626856,0.27749759692208115,1.702814247393603,0.7724933551385577,0.6234612274313428,-0.718146423287504,-0.0946851958561612,-0.09468519585616125,0.3724899977999954,0.6214874717717799,-0.09468519585616125,5.551115123125783e-17,0.0946851958561612,0.09468519585616125,0.1332607004092975,0.13326070040929758,5.551115123125783e-17,8.326672684688674e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,19,1.274090308326698,0.2778670311556791,1.7303566334776792,0.7728730565809012,0.637045154163349,-0.7318235553902857,-0.0947784012269367,-0.09477840122693679,0.3727378644273205,0.6216401919844393,-0.09477840122693679,8.326672684688674e-17,0.0947784012269367,0.09477840122693679,0.13335476134855395,0.133354761348554,8.326672684688674e-17,5.551115123125783e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,22,1.3091282489725335,0.27827714306907525,1.7658095539755936,0.7732929622807572,0.6545641244862668,-0.7494458626132257,-0.09488173812695888,-0.09488173812695892,0.37301283025458737,0.6218090391272698,-0.09488173812695892,4.163336342344337e-17,0.09488173812695888,0.09488173812695892,0.13345891437457114,0.13345891437457116,4.163336342344337e-17,2.7755575615628914e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,25,1.3389645216903894,0.278574372866839,1.7959460523778294,0.7735962140994034,0.6694822608451947,-0.7644388044807845,-0.09495654363558981,-0.09495654363558995,0.37321198591875304,0.6219309503873414,-0.09495654363558995,1.3877787807814457e-16,0.09495654363558981,0.09495654363558995,0.13353422170813023,0.13353422170813026,1.3877787807814457e-16,2.7755575615628914e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,28,1.3648598840284076,0.2787981908819341,1.8220671867066662,0.7738239571472857,0.6824299420142038,-0.7774427651069467,-0.09501282309274284,-0.09501282309274287,0.37336188268349924,0.622022490408219,-0.09501282309274287,2.7755575615628914e-17,0.09501282309274284,0.09501282309274287,0.13359082824638646,0.1335908282463865,2.7755575615628914e-17,2.7755575615628914e-17
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,32,1.3947057533901612,0.2790213169167988,1.8521378660473429,0.7740504638039262,0.6973528766950806,-0.7924217614249154,-0.09506888472983477,-0.0950688847298349,0.3735112561334657,0.6221135201086399,-0.0950688847298349,1.249000902703301e-16,0.09506888472983477,0.0950688847298349,0.13364717159875605,0.1336471715987561,1.249000902703301e-16,5.551115123125783e-17
