resolution,input_type,pixel_dim,latent_dim,tr_jjt,t2_jjt,alpha,eff_rank,condition_number,s_max,s_min_nonzero,hutchinson_only,fd_rel_error
64,white_noise,12288,256,20562.74609375,136471888.0,1.002664373694658,3.0982682704925537,266.44038161801626,106.69537353515625,0.40044745802879333,False,0.12725870311260223
64,constant_gray,12288,256,4255098.0,7914891247616.0,0.989153476666369,2.2875688076019287,532.7464040174461,1639.771240234375,3.077958345413208,False,0.005896477028727531
64,structured,12288,256,7406.60546875,5744900.0,0.8121327357886683,9.548956871032715,80.90175526249178,40.74892807006836,0.5036841034889221,False,0.06110311672091484
128,white_noise,49152,1024,141268.875,1835230592.0,1.0035958215568452,10.8743257522583,436.3425226564013,162.29052734375,0.37193378806114197,False,0.19440197944641113
128,constant_gray,49152,1024,1181184384.0,6.077591067023114e+17,1.184057179923444,2.295640707015991,9501.960847986533,27073.875,2.8492934703826904,False,0.06858879327774048
128,structured,49152,1024,185631.0625,1838999808.0,0.9207321975188425,18.737842559814453,227.48736026780992,158.1934356689453,0.6953943967819214,False,0.04742639511823654
256,white_noise,196608,4096,320410.9375,4350918144.0,0.9531121586582686,23.595748901367188,759.0590241768882,230.2622528076172,0.3033522367477417,False,0.35131925344467163
256,constant_gray,196608,4096,7852130816.0,9.056574473653715e+18,1.1903546280323445,6.807867527008057,13660.350755740845,41919.79296875,3.0687201023101807,False,0.03334350511431694
256,structured,196608,4096,7946427.0,2026506027008.0,1.0278106826101976,31.159889221191406,953.7722459990267,859.3090209960938,0.9009582996368408,False,0.04942316189408302
512,white_noise,786432,16384,1772071.13,29250974003.2,nan,nan,nan,nan,nan,True,nan
512,constant_gray,786432,16384,340200392.32,8.888046768776806e+16,nan,nan,nan,nan,nan,True,nan
512,structured,786432,16384,158228320.32,733497292446761.0,nan,nan,nan,nan,nan,True,nan
